"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"1292"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q2M943_question_Q2itemDirections_5c9d1f9b446cc9.41811578_1_0"	"PISA_ara-SAU_MAT_M943-Arches_en21_MS2022.xlf"
"1268"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد الخيارات للإجابة عن السؤال.&lt;/i&gt;"	"Q1M943_question_Q1itemDirections_5c9d1f9b437c37.29675377_1_0"	"PISA_ara-SAU_MAT_M943-Arches_en21_MS2022.xlf"
"1593"	"Question"	"سؤال"	"Q1M954_question_Q1itemTitle_5c9d1f9b543b76.41732971_2_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1516"	"Question"	"سؤال"	"Q2M953_question_Q2itemTitle_5c9d1f9b4b3766.86878337_2_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1473"	"Note:"	"ملحوظة:"	"Q3M949_question_Q3label8_5c3f628df24cc8.00203063_0_0"	"PISA_ara-SAU_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"1519"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q2M953_question_Q2itemDirections_5c9d1f9b4b39e4.91098988_1_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1613"	"Type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال&lt;/i&gt;."	"Q2M954_question_Q2itemDirections_5c9d1f9b553745.89754449_1_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"201"	"F"	"E"	"Q1M192_question_s2_o6_5c3f62810f1949.93060411_0"	"PISA_ara-SAU_MAT_M192-Containers_en21_MS2022.xlf"
"1289"	"Question"	"سؤال"	"Q2M943_question_Q2itemTitle_5c9d1f9b446ac8.06526750_2_0"	"PISA_ara-SAU_MAT_M943-Arches_en21_MS2022.xlf"
"200"	"E"	"F"	"Q1M192_question_s2_o5_5c3f62810f1823.03086732_0"	"PISA_ara-SAU_MAT_M192-Containers_en21_MS2022.xlf"
"1622"	"Question"	"سؤال"	"Q3M954_question_Q3itemTitle_5c9d1f9b5697a1.83387891_2_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1149"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q2M919_question_Q2itemDirections_5c9d1f9b3cd8d8.41358841_1_0"	"PISA_ara-SAU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"827"	"COUNTRIES"	"النامية"	"M828_stimulus_g2label1_5c3f6288e1f523.05728178_2_0"	"PISA_ara-SAU_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"1505"	"Type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال&lt;/i&gt;."	"Q1M953_question_Q1itemDirections_5c9d1f9b4a7058.98182691_1_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1625"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q3M954_question_Q3itemDirections_5c9d1f9b569b47.27315905_1_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1131"	"Question"	"سؤال"	"Q1M919_question_Q1itemTitle_5c9d1f9b3bc744.15947822_2_0"	"PISA_ara-SAU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1265"	"Question"	"سؤال"	"Q1M943_question_Q1itemTitle_5c9d1f9b437a38.83999446_2_0"	"PISA_ara-SAU_MAT_M943-Arches_en21_MS2022.xlf"
"889"	"Question"	"سؤال"	"Q1M905_question_Q1itemTitle_5c9d1f9b2f5861.04092278_2_0"	"PISA_ara-SAU_MAT_M905-TennisBalls_en21_MS2022.xlf"
