"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"4573"	"Subject:"	"Tema:"	"R563_question10_r2c1_56fc786b4e4e01.44187974_0"	"PISA_srp-SRB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5296"	"1"	"46"	"R567_question09_attr_value_attr_R567Q09RADIO_1_2_56fc787917ec06.60718466_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6082"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_srp-SRB_REA_R590-Sentences01_en18_MS2022.xlf"
"5505"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5007"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta sa desne strane."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5577"	"Read the information below."	"&lt;i&gt;Pročitaj tekst ispod,"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1606"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel sa desne strane”."	"R543_question2_itemDirections_56fc7821351641.10631472_0_0"	"PISA_srp-SRB_REA_R543-Nobel_en18_MS2022.xlf"
"2733"	"Spring"	"Tokom proleća."	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"5580"	"Click on the NEXT arrow to read the webpage."	"Klikni na strelicu DALJE da pročitaš stranicu na internetu."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4248"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_srp-SRB_REA_R562-OpeningNight_en18_MS2022.xlf"
"398"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - Dokument 2&lt;/b&gt;"	"R220_stimulus_title_56d724d3c6d259.64922768_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"4232"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_srp-SRB_REA_R562-OpeningNight_en18_MS2022.xlf"
"5354"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_1_2_56fc7879204416.12521566_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4942"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5171"	"1"	"46"	"R567_question02_attr_value_attr_R567Q02RADIO_1_56fc78790d4e15.13768365_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5520"	"Click on a choice to answer the question."	"Odgovori na pitanje klikom na jednu od ponuđenih opcija."	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5863"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"5259"	"1"	"46"	"R567_question08_attr_value_attr_R567Q08RADIO_4_2_56fc787915b6e1.08610115_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3057"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"3905"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_1_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2719"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"5204"	"False"	"Netačna"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4047"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_srp-SRB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3005"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R552_question04_q04itemDirections_56fd794262d177.81724264_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"3007"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"4941"	"Read the information below."	"Pročitaj informaciju ispod,"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2290"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question9_itemTitle_56fc782e1235b3.18384103_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"456"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen je želeo pobedu na Južnom polu. Četrnaestog januara 1911. on se iskrcao na Antarktiku u Zalivu kitova. Spremio se da provede zimu sa osmoro saputnika i 116 pasa u Framhajmu, bazi sagrađenoj na Rosovoj barijeri. Dvadesetog oktobra 1911, Amundsen i četvorica njegovih ljudi krenuli su iz Framhajma da osvoje Južni pol i poveli po dvanaest pasa za svake saonice. Sedamnaestog novembra, na oko 85° južne geografske širine, stigli su do podnožja Transantarktičkog planinskog venca i sada je trebalo da nađu put preko njega. Počeli su zastrašujući uspon uz glečer Aksel Hajberg koji je pun pukotina."	"R220_stimulus_p2_56d724d3c9f9a0.87183972_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"5360"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_4_2_56fc78792049b1.95343389_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5885"	"I had fun the last time I stayed with them."	"Super smo se proveli posljednji put kad sam ih čuvao."	"R570_question01_question01_5_56fc787977d263.09341473_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"3050"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R552_question07_q07itemDirections_56fd7942689af8.23731694_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"2953"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"2475"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5320"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5590"	"Click on a choice and type an explanation to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj odgovor."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5216"	"1"	"46"	"R567_question05_attr_value_attr_R567Q05RADIO_4_2_56fc78791131a2.68760371_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5057"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne zaboravi da izabereš &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6081"	"Read the introduction."	"Pročitaj uvod,"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_srp-SRB_REA_R590-Sentences01_en18_MS2022.xlf"
"5298"	"1"	"46"	"R567_question09_attr_value_attr_R567Q09RADIO_2_2_56fc787917ede4.31632365_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4958"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne zaboravi da izabereš &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića.&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4821"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi postere sa desne strane, koje ćeš otvoriti tako što ćeš kliknuti na svaki od  prozora."	"R565_question7_itemDirections_56fc785d61d9f9.86494574_0_0"	"PISA_srp-SRB_REA_R565-SittingDisease_en18_MS2022.xlf"
"5472"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R568_question02_q02itemDirections_56fc784aa47285.37561152_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5308"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1365"	"Click on a choice to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora.&lt;/i&gt;"	"Q01R542_question_Q01itemDirections_56fc782106a666.48274673_1_0"	"PISA_srp-SRB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2215"	"&lt;i&gt;Refer to the School’s Email on the right."	"&lt;i&gt;Koristi informacije iz školskog imejla sa desne strane."	"R547_question01_itemDirections_56fc782e08b391.57814376_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"3027"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R552_question05_q05itemDirections_56fd794264d092.27315344_1_0"	"PISA_srp-SRB_REA_R552-FestiRock_en18_MS2022.xlf"
"3151"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Pročitaj tekst ispod,"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_srp-SRB_REA_R553-HealthForum_en18_MS2022.xlf"
"5038"	"Click on one or more boxes to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na jedan ili više izabranh kvadratića."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4116"	"Use drag and drop to answer the question."	"Odgovori na pitanje koristeći opciju „prevuci i spusti."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_srp-SRB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3483"	"Web Search"	"Pretraga interneta"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4946"	"Read the information below."	"Pročitaj informaciju ispod,"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4566"	"Type your answers to the questions."	"Napiši odgovore na pitanje."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_srp-SRB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5536"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2547"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1788"	"Click on the NEXT arrow to read the second source."	"Klikni na strelicu DALJE da pročitaš drugi izvor."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_srp-SRB_REA_R544-Tesla_en18_MS2022.xlf"
"2736"	"Winter"	"Tokom zime."	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"2232"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question5_itemTitle_56fc782e0b46d3.09014801_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"2734"	"Summer"	"Tokom leta."	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"4218"	"Click on a choice to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora.&lt;/i&gt;"	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_srp-SRB_REA_R562-OpeningNight_en18_MS2022.xlf"
"5341"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5858"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"454"	"Amundsen, the Norwegian"	"Amundsen, Norvežanin"	"R220_stimulus_li2_56d724d3c9ebd6.35215942_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"4434"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_srp-SRB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5212"	"1"	"46"	"R567_question05_attr_value_attr_R567Q05RADIO_2_2_56fc7879112de5.12351014_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3152"	"Then click on the NEXT arrow.&lt;/i&gt;"	"zatim klikni na strelicu DALJE."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_srp-SRB_REA_R553-HealthForum_en18_MS2022.xlf"
"1620"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel&quot; sa desne strane."	"R543_question3_itemDirections_56fc78213692b4.63556835_0_0"	"PISA_srp-SRB_REA_R543-Nobel_en18_MS2022.xlf"
"5477"	"False"	"Netačna"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"268"	"T"	"Č"	"R219_stimulus_stimulus_7_56d724d36b9d25.53244686_0"	"PISA_srp-SRB_REA_R219-Employment_en18_MS2022.xlf"
"2525"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2246"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question6_itemTitle_56fc782e0d7d28.14791330_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"2420"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"465"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - Dokument 2&lt;/b&gt;"	"R220_stimulus_title_56d724d3cbfae7.23555586_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"5070"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1378"	"Didn’t you tell me you were going to join?"	"Zar mi nisi rekao da ćeš da se učlaniš?"	"Q01R542_question_Convp6_56fc782106b821.03976464_2_0"	"PISA_srp-SRB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1380"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"„Da, to mi je plan, ali me više zanima oglas za davanje saveta..."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_srp-SRB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3678"	"Tyson Electronics"	"„Zmaj elektronika”"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2036"	"True"	"Tačna"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_srp-SRB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"452"	"Document 1 describes the different stages of the contest between two teams, led by:"	"Dokument 1 opisuje različite faze trke dvaju timova koje su predvodili"	"R220_stimulus_abstract_56d724d3c9e2f6.98371832_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"5243"	"According to the information in the text, are the statements in the table below true or false?"	"Prema informacijama iz teksta, da li su tvrdnje ispod tačne ili netačne?"	"R567_question08_q08p1_56fc78791575d5.59175189_0_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5078"	"Web Search"	"Pretraga interneta"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5362"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_5_2_56fc7879204b82.82907917_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2184"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question01_itemTitle_56fc782e045468.77144273_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"5210"	"1"	"46"	"R567_question05_attr_value_attr_R567Q05RADIO_1_2_56fc7879112bf6.93638153_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3712"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_srp-SRB_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5364"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_6_2_56fc7879204d62.34687975_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2226"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question01_itemTitle_56fc782e09fa97.18259824_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"5151"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne zaboravi da možeš da izabereš &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2230"	"Type your answer to the question.&lt;/i&gt;"	"Napiši odgovor na pitanje."	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"5873"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"4464"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R563_question03_q03itemDirections_56fc786b410592.73244337_1_0"	"PISA_srp-SRB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5759"	"Playground"	"Na igralištu"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"4765"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi postere sa desne strane, koje ćeš otvoriti tako što ćeš kliknuti na svaki od  prozora."	"R565_question2_itemDirections_56fc785d5accf1.97912779_0_0"	"PISA_srp-SRB_REA_R565-SittingDisease_en18_MS2022.xlf"
"2549"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5582"	"Read the information below."	"&lt;i&gt;Pročitaj tekst ispod,"	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1992"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_srp-SRB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4664"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_srp-SRB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5230"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta sa desne strane."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3551"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Pročitaj tekst ispod,"	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_srp-SRB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5244"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na  &lt;b&gt;Tačna&lt;/b&gt; ili &lt;b&gt;Netačna &lt;/b&gt; za svaku tvrdnju."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
