"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"4320"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R562_question05_q05itemDirections_56fc783b44e892.36199768_1_0"	"PISA_pol-POL_REA_R562-OpeningNight_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Kliknij wynik wyszukiwania, aby odpowiedzieć na pytanie.&lt;/i&gt;"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_pol-POL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5822"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"q5R569_question_q05itemDirections_56fc78795345f0.48202417_1_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"1941"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"2591"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedź w tabeli. &lt;/i&gt;"	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3454"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;//i&gt;"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_pol-POL_REA_R590-Sentences01_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"5824"	"Benches"	"Na ławkach"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"3387"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R556_question1_itemDirections_56fc783ac17050.91870088_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Kliknij, aby wybrać odpowiedź, a następnie uzasadnij swój wybór.&lt;/i&gt;"	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Kliknij, aby wybrać odpowiedź, a następnie uzasadnij swój wybór.&lt;/i&gt;"	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"ma już 10 lat &lt;br /&gt;i zwraca Ci nawet"	"R466_stimulus_line1_50c7c99ab59b04.08544240_0"	"PISA_pol-POL_REA_R466-WorkRight_en15_MS2022.xlf"
"5989"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedź w tabeli. &lt;/i&gt;"	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kliknij &lt;b&gt;Tak&lt;/b&gt; lub  &lt;b&gt;Nie&lt;/b&gt; przy każdym stwierdzeniu."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5037"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Przeczytaj poniższe informacje."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_pol-POL_REA_R590-Sentences01_en18_MS2022.xlf"
"1992"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt; Zapoznaj się z tekstem &quot;Iskra geniuszu&quot; po prawej stronie."	"R544_question6_itemDirections_56fc78217e75b4.12434036_0_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź w tabeli. &lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedź w tabeli. &lt;/i&gt;"	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_pol-POL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliknij w tabeli wybraną odpowiedź.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_pol-POL_REA_R547-BookSurvey_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Kliknij strzałkę DALEJ i przeczytaj pierwszy tekst źródłowy."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"WARUNKI OGÓLNE OFERTY „100 zł NA 10-LECIE”&lt;br /&gt; 1. Promocja nie jest dostępna dla hurtowników i detalistów zajmujących się zbytem tego asortymentu.
2. Oferta dotyczy jedynie następujących produktów Dobrego Biura: materiałów biurowych, urządzeń do drukowania, produktów reklamowych, zaopatrzenia informatycznego. Ofercie nie podlega pozostały asortyment produktów Dobrego Biura, w szczególności umeblowanie."	"R466_stimulus_section4_50c7c99ab61509.51874810_0"	"PISA_pol-POL_REA_R466-WorkRight_en15_MS2022.xlf"
"5947"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R570_question01_q01itemDirections_56fc787977c2c5.49256860_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"2561"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R549_question06_q06itemDirections_56fc786ad2b6d6.09014130_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_pol-POL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"3241"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_pol-POL_REA_R553-HealthForum_en18_MS2022.xlf"
"392"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; BIEGUN POŁUDNIOWY&lt;/b&gt;&lt;br /&gt; Pytanie"	"R220_question_itemTitle_50c7c0a0e6f7c8.37693243_0"	"PISA_pol-POL_REA_R220-SouthPole_en15_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Następnie kliknij strzałkę DALEJ."	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"3718"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź w tabeli.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_pol-POL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4687"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R564_question02_q02itemDirections_56fc783b5cfdd4.82081497_1_0"	"PISA_pol-POL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Fotografia dzięki uprzejmości: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_pol-POL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5230"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_1_0"	"PISA_pol-POL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3377"	"&lt;i&gt;Read the introduction."	"Przeczytaj wstęp."	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"5586"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_pol-POL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5308"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedź w tabeli.&lt;/i&gt;"	"R567_question08_q08itemDirections_56fc78791571c6.14754122_1_0"	"PISA_pol-POL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4499"	"Read the Introduction."	"&lt;i&gt;Przeczytaj wstęp."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_0_0"	"PISA_pol-POL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4818"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_pol-POL_REA_R565-SittingDisease_en18_MS2022.xlf"
"2801"	"Autumn"	"Jesienią"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"1842"	"&lt;i&gt;Read the introduction."	"Przeczytaj Wstęp."	"question0a_1_itemDirections00_56fc782164e353.11298372_0_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"1859"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R544_question01_itemDirections_56fc7821671ff0.57797605_1_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Zapoznaj się z obydwoma źródłami, klikając każdą z zakładek po prawej stronie."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_pol-POL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4716"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R564_question04_q04itemDirections_56fc783b5f9314.54350838_1_0"	"PISA_pol-POL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2862"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R550_question06_q06itemDirections_56fc785ce7bab6.58395989_1_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"2380"	"Classical Literature&lt;br/&gt;10%"	"Klasyka literatury &lt;br/&gt;10%"	"R547_question10_classicLbl_56fc782e14b970.74294149_0"	"PISA_pol-POL_REA_R547-BookSurvey_en18_MS2022.xlf"
"2799"	"Spring"	"Wiosną"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź w tabeli.&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Zapoznaj się z obydwoma źródłami, klikając każdą z zakładek po prawej stronie."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_pol-POL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_pol-POL_REA_R552-FestiRock_en18_MS2022.xlf"
"4752"	"Saudi Arabia"	"Arabia Saudyjska"	"Page1_stimulus_stimulusTab1_4_56fc785d52a3d2.63302304_0"	"PISA_pol-POL_REA_R565-SittingDisease_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Kliknij strzałkę DALEJ, aby przeczytać stronę internetową."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_pol-POL_REA_R562-OpeningNight_en18_MS2022.xlf"
"3018"	"Read the Introduction."	"&lt;i&gt;Przeczytaj wstęp."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_0_0"	"PISA_pol-POL_REA_R552-FestiRock_en18_MS2022.xlf"
"6058"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź.&lt;/i&gt;"	"R570_question08_q08itemDirections_56fc787985fd79.79010288_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kliknij &lt;b&gt;Tak&lt;/b&gt; lub  &lt;b&gt;Nie&lt;/b&gt; przy każdym stwierdzeniu."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_pol-POL_REA_R552-FestiRock_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_pol-POL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2541"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie.&lt;/i&gt;"	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4298"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_pol-POL_REA_R562-OpeningNight_en18_MS2022.xlf"
"4738"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_pol-POL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2547"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź.&lt;/i&gt;"	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"6043"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R570_question07_q07itemDirections_56fc787980d0d7.70659870_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Kliknij strzałkę DALEJ, aby przeczytać stronę internetową."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_pol-POL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1954"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt; Zapoznaj się z tekstem &quot;Iskra geniuszu&quot; po prawej stronie."	"R544_question4_itemDirections_56fc78217afe38.91956313_0_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"1493"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie.&lt;/i&gt;"	"Q04R542_question_Q04itemDirections_56fc78210a7121.90579681_1_0"	"PISA_pol-POL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4314"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_pol-POL_REA_R562-OpeningNight_en18_MS2022.xlf"
"3640"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź w tabeli.&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_pol-POL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3070"	"Refer to the Volunteer Agreement on the right."	"&lt;i&gt; Zapoznaj się z Kartą Wolontariusza po prawej stronie."	"R552_question04_q04itemDirections_56fd794262d177.81724264_0_0"	"PISA_pol-POL_REA_R552-FestiRock_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"&lt;i&gt; Zapoznaj się z podstronami strony internetowej po prawej stronie."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_pol-POL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_pol-POL_REA_R556-Microlending_en18_MS2022.xlf"
"1070"	"£300 or more&lt;br /&gt;"	"300 zł lub więcej&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c99ab60643.95962905_0"	"PISA_pol-POL_REA_R466-WorkRight_en15_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Przeczytaj poniższe informacje,"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_pol-POL_REA_R553-HealthForum_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"&lt;i&gt; Zapoznaj się z podstronami strony internetowej po prawej stronie."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_pol-POL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2526"	"Refer to “Message in a Bottle” on the right."	"&lt;i&gt;Zapoznaj się z tekstem &quot;List w butelce&quot; po prawej stronie."	"R549_question03_q03itemDirections_56fc786ace3d99.90483432_0_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4737"	"Refer to “Portrait of a Photographer” on the right."	"&lt;i&gt; Zapoznaj się z tekstem &quot;Portret fotografa&quot; po prawej stronie."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_0_0"	"PISA_pol-POL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"4792"	"Denmark"	"Dania"	"Page4_stimulus_stimulusTab4_3_56fc785d575e86.59040707_0"	"PISA_pol-POL_REA_R565-SittingDisease_en18_MS2022.xlf"
"5007"	"Read the information below."	"&lt;i&gt;Przeczytaj poniższe informacje, a"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5250"	"Refer to “What is a Smokejumper?” on the right."	"&lt;i&gt;Zapoznaj się z tekstem &quot;Kim jest strażak-spadochroniarz?&quot; po prawej stronie."	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_0_0"	"PISA_pol-POL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2512"	"Refer to “Message in a Bottle” on the right."	"&lt;i&gt;Zapoznaj się z tekstem &quot;List w butelce&quot; po prawej stronie."	"R549_question02_q02itemDirections_56fc786acd2da2.66365134_0_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"&lt;i&gt;Zapoznaj się z wynikami wyszukiwania w Internecie po prawej stronie."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_pol-POL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"2897"	"Refer to the different webpages of the website on the right."	"&lt;i&gt;Zapoznaj się z różnymi podstronami strony internetowej po prawej stronie."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_0_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"4761"	"Colombia"	"Kolumbia"	"Page1_stimulus_stimulusTab1_13_56fc785d52bee4.06765068_0"	"PISA_pol-POL_REA_R565-SittingDisease_en18_MS2022.xlf"
"3827"	"Refer to “Nalini Nadkarni: A Passion for Trees” on the right."	"&lt;i&gt; Zapoznaj się z informacjami w tekście “Nalini Nadkarni: pasja do drzew” po prawej stronie."	"R559_question04_q04itemDirections_56fc783b27f456.31679060_0_0"	"PISA_pol-POL_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5731"	"Total"	"W SUMIE"	"R569_stimulus_pg2-tr7td1_56fc78794a0917.76386481_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"4701"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_1_0"	"PISA_pol-POL_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Kliknij, aby wybrać odpowiedź, a następnie uzasadnij swój wybór. &lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_pol-POL_REA_R544-Tesla_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Na parkingu"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Potem kliknij na strzałkę, by zobaczyć pierwsze pytanie."	"R220_question_introBullet3_50c7c0a0dbefe9.84387669_0"	"PISA_pol-POL_REA_R220-SouthPole_en15_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_pol-POL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5836"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie. &lt;/i&gt;"	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"304"	"S"	"N"	"R219_stimulus_stimulus_10_50c7b7d50c1562.44813698_0"	"PISA_pol-POL_REA_R219-Employment_en15_MS2022.xlf"
"4275"	"Read the Introduction."	"&lt;i&gt;Przeczytaj wstęp."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_0_0"	"PISA_pol-POL_REA_R562-OpeningNight_en18_MS2022.xlf"
"4509"	"Type your answer to the question."	"Wpisz odpowiedź na pytanie.&lt;/i&gt;"	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_pol-POL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
