"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"975"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question3_itemTitle3_57bc4b08744780.46907679_0"	"PISA_sqi-ALB_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2855"	"Mars"	"Marsit"	"S648_question2_o2_3_57bc4b094f7291.20395387_0"	"PISA_sqi-ALB_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2705"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt; Pyetja"	"question4_1_itemTitle04_57bc4b093d9bc1.05063582_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1753"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_6_57bc4b08ca60f1.19587672_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"988"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question4_itemTitle4_57bc4b087601a0.74622182_0"	"PISA_sqi-ALB_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2678"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lexo hyrjen. Pastaj kliko shigjetën TJETR.&lt;/i&gt;"	"question0_1_itemDirections00_57bc4b0939e9b7.36536381_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1336"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Referoju &quot;Amonitet&quot; në të djathtë. Përdor  tërhiq dhe lësho për t'ju përgjigjur pyetjes&lt;/i&gt;"	"S608_question2_itemDirections2_57bc4b0898e0e0.26854506_0"	"PISA_sqi-ALB_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2096"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Vaksinimi dhe Përhapja e Sëmundjeve&lt;/b&gt;&lt;br /&gt; Pyetja"	"question3_1_itemTitle03_57bc4b08f13cf3.25299573_0"	"PISA_sqi-ALB_SCI_S634-Vaccination_en18_MS2022.xlf"
"2197"	"Low"	"I ulët"	"stimulus2_1_stimulus2_44_57bc4b0907e2d2.59258179_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1779"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_1_57bc4b08cc14b5.47101410_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2719"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"question5_1_itemDirections05_57bc4b093ecc94.58393907_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2773"	"The Run button to display the results."	"Butoni Drejto për të shfaqur rezultatet."	"menu_1_menuLi3_57bc4b09432404.96121677_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2321"	"Low"	"I ulët"	"js_translation_low_57bc4b0914d952.57014965_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2388"	"S629 Solar Cooker"	"S629 Furra Djellore"	"S629_stimulus0_unknownID_57bc4b091a4596.74894371_0"	"PISA_sqi-ALB_SCI_S638-OilSpills_en18_MS2022.xlf"
"2950"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question4_itemTitleqS4_57bc4b095a3ec6.88184288_0"	"PISA_sqi-ALB_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"2198"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_45_57bc4b0907e570.22338836_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2311"	"Delete a row of data to run another trial."	"Fshij një rresht të të dhënave për të drejtuar një tjetër test."	"js_translation_deleteMsg_57bc4b091487c9.89003292_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1422"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Robotikët e Kontrolluar nga Truri &lt;/b&gt;&lt;br /&gt; Pyetja"	"S610_question4_itemTitle4_57bc4b08a4eed5.80265606_0"	"PISA_sqi-ALB_SCI_S610-Brain-controlledRobotics_en18_MS2022.xlf"
"2854"	"Earth"	"Tokës"	"S648_question2_o2_2_57bc4b094f6ff8.76389313_0"	"PISA_sqi-ALB_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2121"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b08f38221.68423475_0"	"PISA_sqi-ALB_SCI_S634-Vaccination_en18_MS2022.xlf"
"2264"	"select"	"Zgjidh"	"question5_1_o5_0_57bc4b090f3300.23249266_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1499"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question6_1_itemTitle06_57bc4b08aee9a9.96471985_0"	"PISA_sqi-ALB_SCI_S615-Tsunami_en18_MS2022.xlf"
"1706"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Mos harro të zgjedhësh &lt;b&gt;një ose më shumë&lt;/b&gt; kuti.&lt;/i"	"S625_question3_Reminder_57bc4b08c75b39.78119576_0"	"PISA_sqi-ALB_SCI_S625-WildfiresAndTheFireTriangle_en18_MS2022.xlf"
"2769"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Ky simulim ju lejon të vëzhgoni rezultatet e një reagimi mes substancës A dhe substancës B. Ti do të shqyrtosh se si vëllimet e dy substancave do të ndikojnë si në madhësinë e grimcave të prodhuara dhe në kohën e reagimit."	"menu_1_menuP1_57bc4b09431877.41153872_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1334"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question2_QitemTitle2_57bc4b0898da24.30875818_0"	"PISA_sqi-ALB_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2776"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Për të zgjedhur një rresht të të dhënave për t'ju përgjigjur një pyetje, kliko kudo në atë rresht. Reshti(at) që zgjedh do të shënohen me yll."	"menu_1_menuP5_57bc4b09432de0.06798952_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2707"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në të informacionin e mëposhtëm. Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b093da385.42234379_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1751"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_4_57bc4b08ca5ed4.12624754_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2143"	"How to Run the Simulation"	"Si të Drejtosh një Simulim"	"menu_1_MenuHeading_57bc4b09035859.72867722_0"	"PISA_sqi-ALB_SCI_S634-Vaccination_en18_MS2022.xlf"
"953"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question2_itemTitle2_57bc4b0872d046.49401196_0"	"PISA_sqi-ALB_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2498"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës&lt;/b&gt;&lt;br /&gt; Pyetja"	"question3_1_itemTitle03_57bc4b09275d79.72903800_0"	"PISA_sqi-ALB_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2199"	"High"	"I lartë"	"stimulus2_1_stimulus2_46_57bc4b0907e804.48296224_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1476"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question4_1_itemTitle04_57bc4b08ac7026.74369891_0"	"PISA_sqi-ALB_SCI_S615-Tsunami_en18_MS2022.xlf"
"2548"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës &lt;/b&gt;&lt;br /&gt; Pyetja"	"question6_1_itemTitle06_57bc4b092b6934.14859993_0"	"PISA_sqi-ALB_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2732"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Për këtë pyetje ti nuk do të duhet të përdorësh simulimin. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question6_1_itemDirections06_57bc4b09402a02.79643733_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2853"	"Venus"	"Venusit"	"S648_question2_o2_1_57bc4b094f6d37.58453146_0"	"PISA_sqi-ALB_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1373"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question4_itemTitle4_57bc4b089bad20.15103351_0"	"PISA_sqi-ALB_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2856"	"Uranus"	"Uranit"	"S648_question2_o2_4_57bc4b094f7559.90823986_0"	"PISA_sqi-ALB_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1003"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S603_question5_itemDirections5_57bc4b08774a52.67402251_0"	"PISA_sqi-ALB_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1354"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question3_itemTitle3_57bc4b089a5048.30731481_0"	"PISA_sqi-ALB_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2193"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_37_57bc4b0907cfe6.43922134_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2924"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question2_itemTitleqS2_57bc4b0957f411.77981653_0"	"PISA_sqi-ALB_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"1780"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_2_57bc4b08cc1637.36220279_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1662"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko ne zgjedhjen dhe pergjigjju pyetjes.&lt;/i&gt;"	"S620_Q5_itemDirections5_57bc4b08c1de35.14141676_0"	"PISA_sqi-ALB_SCI_S620-Tornadoes_en18_MS2022.xlf"
"902"	"higher"	"më të larta"	"S602_question4_S602Q04SELECT31_57bc4b086c22f7.08103214_0"	"PISA_sqi-ALB_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2529"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës &lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_57bc4b0929d8f7.80805327_0"	"PISA_sqi-ALB_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2435"	"Disadvantage"	"Disavantazh"	"S638_question2_header2_57bc4b091e6b65.82979671_0"	"PISA_sqi-ALB_SCI_S638-OilSpills_en18_MS2022.xlf"
"2194"	"High"	"I lartë"	"stimulus2_1_stimulus2_38_57bc4b0907d279.94836897_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2681"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt; Hyrje"	"question1_1_itemTitle01_57bc4b093aa144.84022201_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2323"	"High"	"I lartë"	"js_translation_high_57bc4b0914e4e2.92126952_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2147"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Infektiv:&lt;/b&gt; Individët në këtë gjendje kanë sëmundje dhe mund të infektojnë të tjerët."	"menu_1_aMenutr2td2_57bc4b09036d29.00591530_0"	"PISA_sqi-ALB_SCI_S634-Vaccination_en18_MS2022.xlf"
"2237"	"select"	"Zgjidh"	"question3_1_o3b_0_57bc4b090c7014.78149798_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2460"	"Can this question be answered by scientific experiments?"	"Mundet që kësaj pyetje t'i përgjigjemi me anë të eksperimenteve shkencore?"	"S638_question4_Q4_tr1th1_57bc4b09211431.45803603_0"	"PISA_sqi-ALB_SCI_S638-OilSpills_en18_MS2022.xlf"
"2322"	"Medium"	"Mesatar"	"js_translation_medium_57bc4b0914def8.40632781_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1752"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_5_57bc4b08ca5fe3.30762870_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1778"	"Sound-emitting device"	"Pajisje tingull-lëshuese"	"S626_stimulus3_device2_57bc4b08cc03c5.80335795_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2518"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fillo simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një ose më shumë kuti për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b09289957.52821016_0"	"PISA_sqi-ALB_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2689"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në të informacionin e mëposhtëm. Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question2_1_itemDirections02_57bc4b093b9041.88588595_0"	"PISA_sqi-ALB_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2657"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Dioksidi i Karbonit në Atmosferën e Tokës&lt;/b&gt;&lt;br /&gt; Pyetja"	"S645_question3_itemTitle3_57bc4b09355410.71749306_0"	"PISA_sqi-ALB_SCI_S645-CarbonDioxideInEarthsAtmosphere_en18_MS2022.xlf"
"2573"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Në këtë simulim, ti do të jesh në gjendje për të parë se si lloje të ndryshme të llambave të dritës, të niveleve të ndryshme të fuqisë funksionojnë. Prova e llambës së dritës do të tregojë sasinë e prodhimit të dritës (e matur në lumen), si edhe efikasitetin e llambës së dritës (e matur në lumen për vat)."	"menu_1_menuP1_57bc4b092e1383.30023887_0"	"PISA_sqi-ALB_SCI_S643-LightBulbs_en18_MS2022.xlf"
"1750"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_3_57bc4b08ca5d96.98058610_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
