"Segment"	"en-ZZ"	"fi-FI"	"ID"	"File"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Napsauta kunkin asian kohdalla joko &lt;b&gt;Kyllä&lt;/b&gt; tai &lt;b&gt;Ei&lt;/b&gt; ."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_fin-FIN_REA_R570-TheFavour_en18_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"1842"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Lue johdanto"	"question0a_1_itemDirections00_56fc782164e353.11298372_0_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"3014"	"Date:"	"Päivämäärä:"	"pg3_stimulus_pg3p9_56fd79425aaa51.78520711_0"	"PISA_fin-FIN_REA_R552-FestiRock_en18_MS2022.xlf"
"2799"	"Spring"	"Keväällä"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_fin-FIN_REA_R550-CliffPalace_en18_MS2022.xlf"
"576"	"The worst has happened"	"Pahin on tapahtunut"	"R220_stimulus_stimulusHQ4_3_50c7c03d9bead5.92184716_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"4944"	"Website"	"Verkkosivusto"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_fin-FIN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"14. joulukuuta 1911 Amundsen ja hänen kumppaninsa saavuttivat legendaarisen 90. leveysasteen. 25. tammikuuta 1912 voittoisa retkikunta saapui takaisin Framheimiin edes-takaisen matkan kestettyä 97 päivää."	"R220_stimulus_p4_50c7c03d961b94.03563080_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"2801"	"Autumn"	"Syksyllä"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_fin-FIN_REA_R550-CliffPalace_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_fin-FIN_REA_R590-Sentences01_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen halusi olla Etelänavalla voittajana. 14. tammikuuta 1911 hän nousi maihin Etelämantereelle Valaslahdella. Hän valmistautui viettämään talven kahdeksan kumppaninsa ja 116 koiran kanssa Framheimissa, Rossin lauttajäälle rakennetussa tukikohdassa. 20. lokakuuta 1911 Amundsen ja neljä hänen miehistään lähtivät matkaan Framheimista valloittaakseen Etelänavan mukanaan kaksitoista koiraa kutakin rekeä kohti. 17. marraskuuta, suurin piirtein 85. eteläisen leveysasteen kohdalla, he saapuivat Transantarktisen vuoriston juurelle, ja seuraavaksi heidän piti etsiä reitti vuorten yli. He alkoivat kauhistuttavan kapuamisen ylös Axel Heibergin jäätikköä, joka on täynnä railoja."	"R220_stimulus_p2_50c7c03d9613f3.50925926_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"4942"	"Website"	"Verkkosivusto"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_fin-FIN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1563"	"Friday"	"Perjantai"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Vastaa napsauttamalla yhtä vaihtoehtoa ja kirjoita sitten perustelusi tyhjään tilaan. &lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Napsauta SEURAAVA-nuolta, niin voit lukea verkkosivustoa."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_fin-FIN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5780"	"Location"	"Sijainti"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_fin-FIN_REA_R569-TheCleanup_en18_MS2022.xlf"
"1062"	"County/ State:"	"Postitoimipaikka"	"R466_stimulus_s2line11_50c7c939450ba0.65273367_0"	"PISA_fin-FIN_REA_R466-WorkRight_en15_MS2022.xlf"
"1562"	"Thursday"	"Torstai"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 60&amp;ndash;149,99 €:n ostoista Toimistotunnelma hyvittää &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; €.&lt;br /&gt; &gt; 150&amp;ndash;299,99 €:n ostoista Toimistotunnelma hyvittää 50 €.&lt;br /&gt; &gt; Ostoista, jotka maksavat 300 € tai enemmän, Toimistotunnelma hyvittää 100 €.&lt;br /&gt;"	"R466_stimulus_line5_50c7c93944daf5.53522476_0"	"PISA_fin-FIN_REA_R466-WorkRight_en15_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen halusi olla Etelänavalla voittajana. 14. tammikuuta 1911 hän nousi maihin Etelämantereelle Valaslahdella. Hän valmistautui viettämään talven kahdeksan kumppaninsa ja 116 koiran kanssa Framheimissa, Rossin lauttajäälle rakennetussa tukikohdassa. 20. lokakuuta 1911 Amundsen ja neljä hänen miehistään lähtivät matkaan Framheimista valloittaakseen Etelänavan mukanaan kaksitoista koiraa kutakin rekeä kohti. 17. marraskuuta, suurin piirtein 85. eteläisen leveysasteen kohdalla, he saapuivat Transantarktisen vuoriston juurelle, ja seuraavaksi heidän piti etsiä reitti vuorten yli. He alkoivat kauhistuttavan kapuamisen ylös Axel Heibergin jäätikköä, joka on täynnä railoja."	"R220_stimulus_p2_50c7c03d9bdab7.40058055_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Napsauta SEURAAVA-nuolta, niin voit lukea sadun."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_fin-FIN_REA_R570-TheFavour_en18_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"60&amp;ndash;149,99 €&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c939452717.80543936_0"	"PISA_fin-FIN_REA_R466-WorkRight_en15_MS2022.xlf"
"1561"	"Wednesday"	"Keskiviikko"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1560"	"Tuesday"	"Tiistai"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Vastaa napsauttamalla yhtä vaihtoehtoa ja kirjoita sitten perustelusi tyhjään tilaan."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_fin-FIN_REA_R561-OlympicFlag_en18_MS2022.xlf"
