"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"2944"	"Mars"	"Marss"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_lav-LVA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, klikšķinot un velkot nepieciešamos elementus.&lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_lav-LVA_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2371"	"increase"	"palielinās"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"634"	"Greytown"	"Grejtauna"	"S466_stimulus2_label2_50ed244b3a3993.21626152_0"	"PISA_lav-LVA_SCI_S466-ForestFires_en15_MS2022.xlf"
"2451"	"Low"	"Mazs"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Izveseļojies / Vakcinēts&lt;/b&gt;: šie cilvēki ir pārslimojuši slimību un atveseļojušies vai arī vakcinēti pret šo slimību. Šie cilvēki simulācijā nevar saslimt."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_lav-LVA_SCI_S634-Vaccination_en15_MS2022.xlf"
"645"	"Bacteria"	"Uz baktērijām."	"S478_question1_question1_3_50ed1dd855c2a2.24202119_0"	"PISA_lav-LVA_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2339"	"select"	"Izvēlieties"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"637"	"Dairytown"	"Deiritauna"	"S466_stimulus2_label5_50ed244b3a4068.39394315_0"	"PISA_lav-LVA_SCI_S466-ForestFires_en15_MS2022.xlf"
"2943"	"Earth"	"Zeme"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_lav-LVA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"935"	"higher"	"augstāka"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_lav-LVA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Izlasiet ievadu, tad noklikšķiniet uz bultiņas «TĀLĀK».&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_lav-LVA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Vai zinātniski pētījumi var sniegt atbildi uz šo jautājumu?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_lav-LVA_SCI_S638-OilSpills_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, noklikšķinot uz viena atbilžu varianta.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_lav-LVA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"737"	"No"	"NĒ"	"S498_question3_question3_2_50ec5d742f3e63.73456154_0"	"PISA_lav-LVA_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2456"	"Low"	"Mazs"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Vidējs"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_lav-LVA_SCI_S615-Tsunami_en15_MS2022.xlf"
"936"	"lower"	"zemāka"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_lav-LVA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2375"	"increase"	"palielinās"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, noklikšķinot uz viena atbilžu varianta. &lt;/i&gt;"	"S603_question5_itemDirections5_515e3a720ccc26.65539143_0"	"PISA_lav-LVA_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, atzīmējot vienu vai vairākus atbilžu variantus.&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_lav-LVA_SCI_S634-Vaccination_en15_MS2022.xlf"
"264"	"Low"	"Zema"	"S413_question3_q3t3tr4td2_50ec42af8ea525.99434558_0"	"PISA_lav-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2244"	"Low"	"Mazs"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Vidējs"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_lav-LVA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Šī simulācija ļauj novērot, kā dažādu veidu spuldzes darbojas dažādos jaudas līmeņos. Spuldžu testeris rāda gaismas plūsmu (to mēra lūmenos), kā arī spuldzes gaismas atdevi (to mēra lūmenos uz vatu)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_lav-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Kvēlspuldzei"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_lav-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Izlasiet ievadu, tad noklikšķiniet uz bultiņas «TĀLĀK».&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_lav-LVA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Šī simulācija ļauj novērot vakcinēšanas ietekmi uz infekcijas slimības izplatīšanos starp iedzīvotājiem, kas pakļauti šīs infekcijas slimības riskam."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_lav-LVA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"LED spuldzei"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_lav-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1768"	"&lt;b&gt;✓&lt;/b&gt;"	"&lt;b&gt;&lt;/b&gt;"	"S625_question3_checkmark_515e3a72606930.00791547_0"	"PISA_lav-LVA_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Ļoti labi!&lt;br /&gt; Lai turpinātu, noklikšķiniet uz bultiņas «TĀLĀK »."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_lav-LVA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Izpildiet simulāciju, lai iegūtu datus, balstoties uz zemāk redzamo informāciju. Atbildiet uz jautājumu, noklikšķinot uz viena atbilžu varianta.&lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_lav-LVA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2945"	"Uranus"	"Urāns"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_lav-LVA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Izdzēsiet datus, lai izpildītu vairāk simulāciju."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_lav-LVA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2453"	"High"	"Liels"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Liels"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"636"	"Earltown"	"Erltauna"	"S466_stimulus2_label4_50ed244b3a3e16.41250575_0"	"PISA_lav-LVA_SCI_S466-ForestFires_en15_MS2022.xlf"
"2245"	"Medium"	"Vidējs"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Vidējs"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Izlasiet ievadu, tad noklikšķiniet uz bultiņas «TĀLĀK».&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_lav-LVA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Oglekļa dioksīds Zemes atmosfērā&lt;/b&gt;&lt;br /&gt; Jautājums"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_lav-LVA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Šī simulācija ļauj novērot reakcijas rezultātus starp vielām A un B. Jūs redzēsiet, kā abu vielu tilpums ietekmē gan radīto daļiņu izmēru, gan reakcijas laiku."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_lav-LVA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Halogēnajai spuldzei"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_lav-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Izlasiet ievadu, tad noklikšķiniet uz bultiņas «TĀLĀK».&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_lav-LVA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2452"	"Medium"	"Vidējs"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atsaucoties uz tekstā «Amonīti» sniegto informāciju, kas redzama pa labi, atbildiet uz jautājumu. Nolikšķiniet uz fragmentiem un ievelciet tos vajadzīgajās vietās.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_lav-LVA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Paskaidro, kāpēc.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_lav-LVA_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2374"	"select"	"Izvēlieties"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Izvēlieties"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"CFL spuldzei"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_lav-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"736"	"Yes"	"JĀ"	"S498_question3_question3_1_50ec5d742f3a65.34375806_0"	"PISA_lav-LVA_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2343"	"select"	"Izvēlieties"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Oglekļa dioksīds Zemes atmosfērā&lt;/b&gt;&lt;br /&gt; Jautājums"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_lav-LVA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"635"	"Belltown"	"Beltauna"	"S466_stimulus2_label3_50ed244b3a3bd5.68921928_0"	"PISA_lav-LVA_SCI_S466-ForestFires_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Uzrakstiet savu atbildi uz jautājumu.&lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_lav-LVA_SCI_S638-OilSpills_en15_MS2022.xlf"
"1505"	"BRAIN-CONTROLLED ROBOTICS"	"Roboti, ko kontrolē smadzenes"	"S610_stimulus3_title3_51804e6bd893b3.04851024_0"	"PISA_lav-LVA_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, noklikšķinot uz viena atbilžu varianta. &lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_lav-LVA_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2372"	"decrease"	"samazinās"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"279"	"Low"	"Zema"	"S413_question3_q3t4tr6td2_50ec42af8f0c97.74683457_0"	"PISA_lav-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2942"	"Venus"	"Venēra"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_lav-LVA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1681"	"May"	"Mai."	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_lav-LVA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"381"	"&lt;i&gt;Refer to &quot;Penguin Island  – Table 1&quot; on the right. Click on a choice to answer to the question.&lt;/i&gt;"	"&lt;i&gt;Izmanto informāciju &quot;PINGVĪNU SALA &amp;mdash; 1. tabula&quot;, kas atrodas pa labi. Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu.&lt;/i&gt;"	"S425_question3_itemDirections3_50ec58a2d6df92.73445510_0"	"PISA_lav-LVA_SCI_S425-PenguinIsland_en15_MS2022.xlf"
