"Segment"	"en-ZZ"	"hr-HR"	"ID"	"File"
"5265"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"358"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;JUŽNI POL&lt;/b&gt;&lt;br /&gt;Pitanje"	"R220_question_itemTitle_50d37470710e35.63833906_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"4457"	"Date"	"Datum"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_hrv-HRV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5600"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R568_question07_q07itemDirections_56fc784aab9398.42636422_1_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1563"	"Friday"	"Petak"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Pročitaj prijedloge pojmova za pretraživanje interneta na desnoj strani."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5308"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R567_question08_q08itemDirections_56fc78791571c6.14754122_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"367"	"0"	"B"	"R220_question_attr_value_attr_R220Q02RADIO_1_50d37470713816.48939926_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"404"	"0"	"C"	"R220_question_attr_value_attr_R220Q04RADIO_2_50d374707510b8.95701571_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"5989"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_hrv-HRV_REA_R570-TheFavour_en18_MS2022.xlf"
"2103"	"False"	"Netočna"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_hrv-HRV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1561"	"Wednesday"	"Srijeda"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jedan od rezultata pretraživanja.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_hrv-HRV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"368"	"0"	"C"	"R220_question_attr_value_attr_R220Q02RADIO_2_50d37470713929.35310203_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Odgovori na pitanje klikom na jedan od rezultata pretraživanja."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2800"	"Summer"	"U ljetnoj"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5542"	"True"	"Točna"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1562"	"Thursday"	"Četvrtak"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_hrv-HRV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2802"	"Winter"	"U zimskoj"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Pročitaj predložene pojmove za pretraživanje interneta na desnoj strani."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Za kupnju od 600 kn do 1499 kn, Tehno-biro vam vraća &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; kn.&lt;br /&gt; &gt; Za kupnju od 1500 kn do 2999 kn, Tehno-biro vam vraća 500 kn.&lt;br /&gt; &gt; Za kupnju od 3000 kn i više, Tehno-biro vam vraća 1000 kn.&lt;br /&gt;"	"R466_stimulus_line5_50d37b217a38d3.70331455_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_hrv-HRV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3971"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_1_0"	"PISA_hrv-HRV_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1559"	"Monday"	"Ponedjeljak"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_hrv-HRV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6045"	"How should Charles respond?"	"Što bi mu Karlo trebao odgovoriti?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_hrv-HRV_REA_R570-TheFavour_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"Koja je ukupna vrijednost uredske opreme* tvrtke Tehno-biro koju ste kupili ?&lt;br /&gt;"	"R466_stimulus_section3_50d37b217a7df1.29931987_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"2770"	"Home"	"Početna stranica"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5407"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"Odgovori na pitanje klikom na jedan ili više kvadratića:"	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Kupite &lt;/b&gt; jedan ili više Tehno-biro proizvoda* istoga dana kod svog stalnog trgovca na malo između 15. prosinca  i 31. siječnja:&lt;br /&gt;"	"R466_stimulus_section2_50d37b217a35d4.87376955_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"2928"	"-----Original Message -----"	"-----Originalna poruka -----"	"pg1_stimulus_pg1-li3-1_56fd79425717a1.64071273_0"	"PISA_hrv-HRV_REA_R552-FestiRock_en18_MS2022.xlf"
"5826"	"Football Field"	"Na nogometnom igralištu"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"582"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - DOKUMENT 2&lt;/b&gt;"	"R220_stimulus_title_50d3747087ad15.73668860_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Utipkaj odgovor na pitanje."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_hrv-HRV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Ispunite &lt;/b&gt; donji obrazac.&lt;br /&gt; &lt;b&gt;3/ Priložite &lt;/b&gt; kopiju dokaza o kupnji te bar kod/ove ili etiketu/e s cijenom originalnih proizvoda.&lt;br /&gt; &lt;b&gt;4/ Pošaljite &lt;/b&gt;sve u roku od 15 dana od dana kupnje na sljedeću adresu:&lt;br /&gt;"	"R466_stimulus_section2_50d37b217a3c95.94847568_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_hrv-HRV_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2643"	"Home"	"Početna stranica"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"1043"	"100"	"1000
&lt;span class=&quot;black&quot;&gt;kn&lt;/span&gt;"	"R466_stimulus_stimulus2_2_50d37b217a2856.43110474_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"slavi 10. rođendan&lt;br /&gt; I vraća vam do"	"R466_stimulus_line1_50d37b217a2650.13039620_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"405"	"0"	"D"	"R220_question_attr_value_attr_R220Q04RADIO_3_50d374707511b0.20455862_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"416"	"0"	"B"	"R220_question_attr_value_attr_R220Q05RADIO_1_50d374707709f7.88903632_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"3071"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R552_question04_q04itemDirections_56fd794262d177.81724264_1_0"	"PISA_hrv-HRV_REA_R552-FestiRock_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"neprekidno&lt;br /&gt;danje svjetlo"	"R220_stimulus_label7_50d3747081d644.87586163_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"2801"	"Autumn"	"U jesenskoj"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Odgovori na pitanje klikom na jedan od rezultata pretraživanja."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2102"	"True"	"Točna"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_hrv-HRV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5811"	"Bottles"	"Boca"	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"5543"	"False"	"Netočna"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2799"	"Spring"	"U proljetnoj"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"neprekidno&lt;br /&gt;danje svjetlo"	"R220_stimulus_label6_50d3747081d349.66515477_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - DOKUMENT 2&lt;/b&gt;"	"R220_stimulus_title_50d3747081bf83.88180860_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_hrv-HRV_REA_R562-OpeningNight_en18_MS2022.xlf"
"124"	"£9"	"100 kn"	"R102_stimulus_tr7td3_50d366f0c52e82.24613920_0"	"PISA_hrv-HRV_REA_R102-Shirts_en15_MS2022.xlf"
"1560"	"Tuesday"	"Utorak"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Klikni na strelicu SLJEDEĆE da pročitaš web-stranicu."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_hrv-HRV_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5330"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_hrv-HRV_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5825"	"Playground"	"Na dječjem igralištu"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"2098"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_1_0"	"PISA_hrv-HRV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"417"	"0"	"C"	"R220_question_attr_value_attr_R220Q05RADIO_2_50d37470770b05.01470869_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen je želio pobjedu na Južnom polu. Dana 14. siječnja 1911. iskrcao se u Zaljevu kitova na Antarktici. Pripremio se provesti zimu s osmero suputnika i 116 pasa u Framheimu, bazi izgrađenoj na Rossovu ledenom šelfu . Dana 20. listopada 1911. Amundsen i četvero njegovih ljudi krenuli su iz Framheima u osvajanje Južnog pola s dvanaest pasa po saonicama. Dana 17. studenog, na oko 85° južno, stigli su do podnožja Transantarktičkog lanca i sada su ga trebali prijeći. Tada su započeli sa zastrašujućim uspinjanjem uz Axel Heiberg, ledenjak prepun pukotina."	"R220_stimulus_p2_50d374707f2419.04803406_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;*Uredski pribor, oprema za tisak i promidžbu, informatička oprema  Vidi opće uvjete ponude.&lt;/i&gt;"	"R466_stimulus_line3_50d37b217a2f87.49056160_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Klikni na strelicu SLJEDEĆE da pročitaš letak."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_hrv-HRV_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_hrv-HRV_REA_R552-FestiRock_en18_MS2022.xlf"
"2310"	"Science Fiction"	"Znanstvena fantastika"	"R547_question5_source5_56fc782e0b83c2.54412649_0"	"PISA_hrv-HRV_REA_R547-BookSurvey_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim utipkaj obrazloženje."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"5538"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R568_question02_q02itemDirections_56fc784aa47285.37561152_1_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Je li, prema brošuri, ova tvrdnja točna ili netočna?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_hrv-HRV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2657"	"Home"	"Početna stranica"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Odgovori na pitanje klikom na jedan od rezultata pretraživanja."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_hrv-HRV_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1312"	"True"	"Točna"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_hrv-HRV_REA_R541-Plastic_en18_MS2022.xlf"
