"Segment"	"en-ZZ"	"de-DE"	"ID"	"File"
"3713"	"Click on a search result to answer the question."	"Klicke ein Suchergebnis an, um die Frage zu beantworten."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_deu-DEU_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5947"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R570_question01_q01itemDirections_56fc787977c2c5.49256860_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"5008"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"Lies die unten stehenden Informationen."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_deu-DEU_REA_R590-Sentences01_en18_MS2022.xlf"
"6072"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein.&lt;/i&gt;"	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_deu-DEU_REA_R562-OpeningNight_en18_MS2022.xlf"
"5386"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4225"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_deu-DEU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5090"	"Click a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2154"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_1_0"	"PISA_deu-DEU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_deu-DEU_REA_R552-FestiRock_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_deu-DEU_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_deu-DEU_REA_R562-OpeningNight_en18_MS2022.xlf"
"4738"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_deu-DEU_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5824"	"Benches"	"Bei den Bänken."	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Nachhilfe für alle"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_deu-DEU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"Lies die unten stehenden Informationen."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_deu-DEU_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5747"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"4730"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_deu-DEU_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2541"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_deu-DEU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4298"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_deu-DEU_REA_R562-OpeningNight_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_deu-DEU_REA_R556-Microlending_en18_MS2022.xlf"
"2427"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t2r7c2_56fc782e158fe8.95342582_0"	"PISA_deu-DEU_REA_R547-BookSurvey_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Beim Parkplatz."	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_deu-DEU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_deu-DEU_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2058"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_deu-DEU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5251"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5740"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5374"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4509"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_deu-DEU_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5244"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Für Einkäufe zwischen € 60,– und € 149,99 wird Richtig Arbeiten Ihnen € &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;,– zurückerstatten.&lt;br /&gt; &gt; Für Einkäufe zwischen € 150,– und € 299,99 wird Richtig Arbeiten Ihnen € 50,– zurückerstatten. &lt;br /&gt; &gt; Für Einkäufe über € 300,– wird Richtig Arbeiten Ihnen € 100,– zurückerstatten.&lt;br /&gt;"	"R466_stimulus_line5_50c7c94b4d2fa8.01202537_0"	"PISA_deu-DEU_REA_R466-WorkRight_en15_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"6147"	"Read the introduction."	"&lt;i&gt;Lies die Einleitung."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_deu-DEU_REA_R590-Sentences01_en18_MS2022.xlf"
"5230"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_1_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3042"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_deu-DEU_REA_R552-FestiRock_en18_MS2022.xlf"
"2120"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_deu-DEU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_deu-DEU_REA_R565-SittingDisease_en18_MS2022.xlf"
"3468"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R556_question6_itemDirections_56fc783ad7eec4.09705116_1_0"	"PISA_deu-DEU_REA_R556-Microlending_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"Bild: NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"Lies die unten stehenden Informationen."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_deu-DEU_REA_R553-HealthForum_en18_MS2022.xlf"
"2390"	"Graphic Novel"	"Comic-Romane"	"R547_question10_q10t1r3c2_56fc782e14e633.69091002_0"	"PISA_deu-DEU_REA_R547-BookSurvey_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_deu-DEU_REA_R550-CliffPalace_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_deu-DEU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_deu-DEU_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5794"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"q3R569_question_q03itemDirections_56fc7879509f05.07375639_1_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5761"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"q1R569_question_q01itemDirections_56fc78794dc632.42190211_1_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"2375"	"Zedtown High’s favourite fiction genres of books"	"Beliebteste Genres der Unterhaltungsbücher an der Mittelschule Zedstadt."	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_deu-DEU_REA_R547-BookSurvey_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_deu-DEU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2924"	"&lt;b&gt;Subject:&lt;/b&gt; RE: Volunteer &amp;ndash; FestiRock"	"&lt;b&gt;Betreff:&lt;/b&gt; AW: Freiwillige &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li2-3_56fd7942571067.52470480_0"	"PISA_deu-DEU_REA_R552-FestiRock_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Gib deine Antworten auf die Frage ein."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_deu-DEU_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4832"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R565_question2_itemDirections_56fc785d5accf1.97912779_1_0"	"PISA_deu-DEU_REA_R565-SittingDisease_en18_MS2022.xlf"
"5826"	"Football Field"	"Beim Fußballplatz."	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"1150"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_1_0"	"PISA_deu-DEU_REA_R540-BuildingALegend_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_deu-DEU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5939"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_deu-DEU_REA_R552-FestiRock_en18_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check;&lt;i&gt;  Vergiss nicht, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5961"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R570_question02_q02itemDirections_56fc787978f2e5.90111872_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"2492"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_deu-DEU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"325"	"TO"	"BIS ZUM"	"R219_stimulus_sect4Line3span4_50c7b780a25449.97018247_0"	"PISA_deu-DEU_REA_R219-Employment_en15_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_deu-DEU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_deu-DEU_REA_R590-Sentences01_en18_MS2022.xlf"
"6159"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_deu-DEU_REA_R590-Sentences01_en18_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3241"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_deu-DEU_REA_R553-HealthForum_en18_MS2022.xlf"
"2635"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_deu-DEU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Ist die Aussage richtig oder falsch?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_deu-DEU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1631"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_deu-DEU_REA_R543-Nobel_en18_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_deu-DEU_REA_R549-MessageInABottle_en18_MS2022.xlf"
